review,date
hocam iyi akşamlar ben ayı devirdim henüz taksitleri bitmedi ancak aracınıza önem veriyorsanız kaliteli bir ppf yaptırmanızı tavsiye ederim kaliteliden kastım adının duyulmasından ziyade mikron değerleri aracımı aldıktan sonra kaput çamurluklar yan kapılar kapı eşikleri neredeyse tamamı adı epey duyulmuş bir markanın yıllık garantili filmleriyle kaplandı bir gün fark ettim hsonu kaplama olmayan sol arka çamurluk bel hizasında mm kadar boya kalkmış belli belirsiz göçük oluşmuş servise gittim rötuş boya sürüldü maalesef dikkatli bakınca kaldı izi kapılardaki ppflerde çatlama var kapı üstüne yakın çıkıntı çizgide muhtemelen başka araçların kapıları çarpınca ppf çatlamış sol aynanın önüne doğru ppf neredeyse yırtılmış beyazlaşma hafif göçük var umarım boyaya gelmemiştir beklemedeyim ppfi yeniletene kadar dün fark ettiğimse ön yolcu tarafında kapı eşiğinde göçük var perşembe günü yıkatmıştım aracı etrafını şöyle bir dolandım kapı eşiğine bakmak aklıma bile gelmemişti demem kendinize ait park alanlarında kapalı garajda güvenli yerlerde bırakmayacaksanız aracı mutlaka ppf kaplatın seramik kesinlikle yetersiz olurdu yaşadığım duumlarda yaşadığım şeylerde ufak bir hatam bile yok aylık aracın üç göçüklü görüntüsü insanı haliyle sinirlendiriyor diğer gruba yazıklarınızı gördüm eski bir kullanıcısınız sanırım kasanın sağlamlığından eser yok tamam güzel araç sürmesi keyifli teknoloji açısından güzel yaşadıklarımın zerresini yaşamadım,06.10.2023
arada oturdum bir yarım saat araç yıkanırken kayıt alan kameranın görüntüsünü izledim herhangi bir takırtı bir şeyin çarpması sesini duysam diyeceğim yıkamacıda olmuş yok kapı eşiğine ppf parça yaptırdım sırf inerken binerken ayakkabı sürtüp boyası zarar görmesin ppfin üstüne dokunuyorum hala pürüzsüz sivri keskin bir düşmemiş çarpmamış arada bütün bunlar benim yaşadığım aynı dönemde araç aldığımız benden önce aracına kavuşan arkadaşlar var forumda onlar yaşamadı böyle şeyler maksadım sadece seramik kaplama yazdığınız yaşadığım şeylerden bahsetmekti şahsi fikrimi sorarsanız aracınıza kalitesiz olsa ppf kaplatın kötü ihtimalle iki üç sene içinde yeniletirsiniz yeter bilen uygulasın sökümünü yapsın boyaya zarar vermez eski aracımda sanayi malı markasız ppf vardı kaputta kaputa izmarit atmışlar balkondan tunalıya gittiğimde park yerinde i̇zmarit filmin üstünde yanıp sönmüş film sararmıştı sökünce boyada sıfır hasar vardı yine allah korumuş komple yanabilirdi araç,07.10.2023
review,date
maalesef dün sizinle konuştuktan sonra kendi aracıma baktım akşam orta ekranda harita olmasa caddesokak ismi yazıyor orada kapı kilidi ilgili ayarlar kullanım kılavuzu sayfalarda anlatılıyor sadece şoför kapısının açılması bence iyi bir özellik hocam özellikle kalabalık şehirlerde muhtemelen hırsızlık olaylarının önüne geçmek resime gitmek tıklayın,23.09.2023
kapılarla ilgili bayağı bi ayar seçeneği var benim istediğim yok yada ben yapamadımnormalde kapılar kilitlisürücü yada yolcu kapısı içeriden açıldığından arka kapılarında otomatik açılması gerekir mantık olarakbenim golf aracım vardı onda öyleydiarkada çocuklar vargüvenlik açısından araçtan inip arka kapıları açabiliyor olmamız gerekir düşünüyorum,23.09.2023
hocam araç çalışır vaziyette iken şöför kapısını açtığında güvenlik amaçlı diğer kapılar kilitli kalır tamamının açılması aracın stop ettirilmesi gerekir,23.09.2023
anladım teşekkür ederim,23.09.2023
balata değişecekse ön arka balata tlye değiştirdim hafta önce,09.09.2023
araç kaç km bende ikisi balata değişimi uyarı vermeye başladı önümüzde hafta değişim görünüyor bana,09.09.2023
km değiştirdim bende tarihten ötürü çıktığını düşünüyorum ön gittim arkanında bittiğini söylediler onuda değiştirttim,09.09.2023
balatanın tarihle ilgisi yok asbest karışımları olmayınca balatalar inanılmaz çabuk bitmeye başladı aracım arka balata değişiyor aracım şuan ön arka balata zamanı gelmek üzere maalesef dönemde maliyetler,09.09.2023
